"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SPICEMODEL";"SPICEPREFIX";
"2";"";"AUDIO-JACK2.5MM";"STEREOJACK2.5MM_STEREOJACK2.5MM";"CHANNELA, CHANNELB";"3.5mm Audio Jack";"";"";"";"";"";"";"";
"2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2";"LED";"";"";"";"";"";"";"";
"1";"0R";"R";"R0805";"R100";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"14";"100k";"R";"R0805";"R3, R5, R7, R9, R10, R12, R13, R15, R17, R18, R25, R27, R28, R29";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"2";"100nF";"C-EUC0805K";"C0805K";"C6, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"100nF";"C2.5/2";"C2.5-2";"C2, C4";"CAPACITOR";"";"";"";"";"";"";"";
"8";"10k";"R";"R0805";"R8, R11, R19, R20, R21, R22, R23, R24";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"2";"10uF";"C-EUC0805K";"C0805K";"C5, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"1R";"R";"R0805";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"2";"200k";"R";"R0805";"R4, R16";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
"2";"42TL025";"42TL025";"42TL";"TR1, TR2";"Xicon Micro-Mini EI-12 Audio Transformers 42TL/42TC/42TM Series";"";"";"unknown";"unknown";"";"";"";
"3";"47uF";"CPOL-EUE2.5-5";"E2,5-5";"C1, C3, C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"560R";"R-EU_R0805";"R0805";"R26, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"ARDUINOUNO";"ARDUINOUNO";"ARDUINO";"GND";"Arduino Diecimila/Duemilanove";"";"";"";"";"";"";"";
"2";"IRF9Z24";"IRL530N-V";"TO220V";"Q2, Q5";"MOSFET";"";"";"";"";"";"";"";
"4";"IRL520N-H";"IRL530N-V";"TO220V";"Q1, Q3, Q4, Q6";"MOSFET";"";"";"";"";"";"";"";
"1";"LM358KIT";"LM358KIT";"DIP08-KIT";"IC1";"Jellybean op-amp";"";"";"";"";"IC-09172";"";"";
"1";"MAX548";"MAX548";"DIL08";"IC2";"";"";"";"";"";"";"";"";
"2";"xk";"R";"R0805";"R6, R14";"RESISTOR, European symbol";"";"";"";"";"";"NONE";"R";
